customer_id,card_activation_date,
1587501,4/30/20,
1587502,4/11/20,
1587503,3/17/20,
1587504,3/16/20,
1587505,4/20/20,
1587506,3/20/20,
1587507,3/26/20,
1587508,3/17/20,
1587509,3/9/20,
1587510,4/25/20,
1587511,4/14/20,
1587512,3/11/20,
1587513,4/28/20,
1587514,3/19/20,
1587515,4/9/20,
1587516,4/4/20,
1587517,5/1/20,
1587518,5/1/20,
1587519,3/11/20,
1587520,3/13/20,
1587521,3/31/20,
1587522,3/16/20,
1587523,4/15/20,
1587524,4/28/20,
1587525,3/30/20,
1587526,3/23/20,
1587527,3/13/20,
1587528,3/10/20,
1587529,4/6/20,
1587530,3/25/20,
1587531,4/8/20,
1587532,3/25/20,
1587533,3/16/20,
1587534,3/17/20,
1587535,4/29/20,
1587536,4/27/20,
1587537,4/2/20,
1587538,3/9/20,
1587539,3/9/20,
1587540,4/24/20,
1587541,3/14/20,
1587542,4/19/20,
1587543,4/14/20,
1587544,4/12/20,
1587545,4/3/20,
1587546,4/15/20,
1587547,4/17/20,
1587548,3/13/20,
1587549,4/11/20,
1587550,4/6/20,
1587551,4/30/20,
1587552,4/10/20,
1587553,3/14/20,
1587554,3/24/20,
1587555,4/27/20,
1587556,3/10/20,
1587557,3/16/20,
1587558,4/24/20,
1587559,3/20/20,
1587560,3/16/20,
1587561,3/11/20,
1587562,3/24/20,
1587563,4/5/20,
1587564,3/14/20,
1587565,3/30/20,
1587566,4/28/20,
1587567,3/13/20,
1587568,4/24/20,
1587569,3/21/20,
1587570,4/6/20,
1587571,4/11/20,
1587572,3/11/20,
1587573,4/17/20,
1587574,4/13/20,
1587575,3/17/20,
1587576,4/16/20,
1587577,3/25/20,
1587578,4/27/20,
1587579,4/28/20,
1587580,4/21/20,
1587581,5/1/20,
1587582,4/5/20,
1587583,3/30/20,
1587584,4/30/20,
1587585,3/18/20,
1587586,3/25/20,
1587587,4/22/20,
1587588,4/13/20,
1587589,4/12/20,
1587590,3/12/20,
1587591,4/5/20,
1587592,4/30/20,
1587593,3/20/20,
1587594,4/11/20,
1587595,3/12/20,
1587596,4/17/20,
1587597,4/25/20,
1587598,4/14/20,
1587599,4/13/20,
1587600,3/20/20,
1587601,3/31/20,
1587602,4/9/20,
1587603,4/30/20,
1587604,3/29/20,
1587605,4/28/20,
1587606,3/17/20,
1587607,4/16/20,
1587608,4/18/20,
1587609,4/11/20,
1587610,4/3/20,
1587611,3/18/20,
1587612,3/10/20,
1587613,3/25/20,
1587614,3/13/20,
1587615,3/15/20,
1587616,4/2/20,
1587617,4/13/20,
1587618,3/9/20,
1587619,4/20/20,
1587620,4/20/20,
1587621,3/24/20,
1587622,4/28/20,
1587623,3/14/20,
1587624,4/20/20,
1587625,5/1/20,
1587626,3/10/20,
1587627,3/27/20,
1587628,4/1/20,
1587629,3/18/20,
1587630,4/24/20,
1587631,4/14/20,
1587632,3/17/20,
1587633,3/9/20,
1587634,4/19/20,
1587635,4/20/20,
1587636,3/30/20,
1587637,4/16/20,
1587638,3/17/20,
1587639,4/2/20,
1587640,3/25/20,
1587641,3/30/20,
1587642,4/20/20,
1587643,4/16/20,
1587644,3/14/20,
1587645,3/18/20,
1587646,4/7/20,
1587647,3/21/20,
1587648,4/18/20,
1587649,3/10/20,
1587650,4/27/20,
1587651,4/21/20,
1587652,4/24/20,
1587653,3/16/20,
1587654,4/17/20,
1587655,3/13/20,
1587656,3/29/20,
1587657,3/14/20,
1587658,4/24/20,
1587659,4/21/20,
1587660,3/30/20,
1587661,4/21/20,
1587662,4/7/20,
1587663,4/6/20,
1587664,4/27/20,
1587665,4/21/20,
1587666,4/10/20,
1587667,4/3/20,
1587668,4/13/20,
1587669,4/22/20,
1587670,4/11/20,
1587671,4/27/20,
1587672,3/11/20,
1587673,3/14/20,
1587674,3/18/20,
1587675,3/26/20,
1587676,4/20/20,
1587677,3/31/20,
1587678,4/16/20,
1587679,3/30/20,
1587680,3/20/20,
1587681,3/16/20,
1587682,3/13/20,
1587683,4/17/20,
1587684,3/21/20,
1587685,3/12/20,
1587686,4/20/20,
1587687,3/23/20,
1587688,4/27/20,
1587689,4/7/20,
1587690,3/13/20,
1587691,4/21/20,
1587692,3/22/20,
1587693,3/27/20,
1587694,5/1/20,
1587695,3/16/20,
1587696,4/20/20,
1587697,3/16/20,
1587698,3/20/20,
1587699,4/14/20,
1587700,3/24/20,
1587701,3/30/20,
1587702,3/15/20,
1587703,4/14/20,
1587704,4/6/20,
1587705,4/17/20,
1587706,4/22/20,
1587707,4/24/20,
1587708,3/28/20,
1587709,3/11/20,
1587710,3/13/20,
1587711,4/27/20,
1587712,4/24/20,
1587713,3/24/20,
1587714,4/13/20,
1587715,3/24/20,
1587716,4/29/20,
1587717,4/18/20,
1587718,3/13/20,
1587719,3/26/20,
1587720,4/27/20,
1587721,3/13/20,
1587722,3/25/20,
1587723,4/1/20,
1587724,3/30/20,
1587725,4/18/20,
1587726,4/3/20,
1587727,3/14/20,
1587728,4/9/20,
1587729,4/25/20,
1587730,3/14/20,
1587731,3/24/20,
1587732,3/25/20,
1587733,4/21/20,
1587734,4/13/20,
1587735,4/27/20,
1587736,4/9/20,
1587737,3/24/20,
1587738,4/23/20,
1587739,3/31/20,
1587740,3/16/20,
1587741,3/24/20,
1587742,4/28/20,
1587743,4/17/20,
1587744,3/14/20,
1587745,4/10/20,
1587746,3/30/20,
1587747,4/14/20,
1587748,3/16/20,
1587749,4/9/20,
1587750,4/6/20,
1587751,4/24/20,
1587752,3/13/20,
1587753,4/21/20,
1587754,3/23/20,
1587755,4/16/20,
1587756,4/14/20,
1587757,3/10/20,
1587758,3/17/20,
1587759,4/14/20,
1587760,4/27/20,
1587761,3/26/20,
1587762,3/25/20,
1587763,3/17/20,
1587764,3/12/20,
1587765,3/9/20,
1587766,4/24/20,
1587767,3/25/20,
1587768,3/13/20,
1587769,3/10/20,
1587770,3/14/20,
1587771,4/8/20,
1587772,4/20/20,
1587773,4/27/20,
1587774,4/27/20,
1587775,3/11/20,
1587776,4/14/20,
1587777,4/23/20,
1587778,3/31/20,
1587779,4/7/20,
1587780,3/31/20,
1587781,3/27/20,
1587782,4/23/20,
1587783,4/13/20,
1587784,4/13/20,
1587785,3/20/20,
1587786,4/18/20,
1587787,3/20/20,
1587788,3/28/20,
1587789,3/24/20,
1587790,3/12/20,
1587791,4/15/20,
1587792,4/6/20,
1587793,4/4/20,
1587794,3/14/20,
1587795,3/13/20,
1587796,4/6/20,
1587797,4/12/20,
1587798,4/24/20,
1587799,3/25/20,
1587800,4/9/20,
1587801,4/18/20,
1587802,4/23/20,
1587803,4/17/20,
1587804,3/30/20,
1587805,4/6/20,
1587806,3/31/20,
1587807,3/29/20,
1587808,5/1/20,
1587809,4/29/20,
1587810,3/16/20,
1587811,3/25/20,
1587812,3/12/20,
1587813,3/30/20,
1587814,3/26/20,
1587815,3/13/20,
1587816,4/15/20,
1587817,3/10/20,
1587818,4/12/20,
1587819,4/14/20,
1587820,3/30/20,
1587821,4/27/20,
1587822,4/27/20,
1587823,4/14/20,
1587824,3/30/20,
1587825,4/30/20,
1587826,3/24/20,
1587827,3/17/20,
1587828,4/13/20,
1587829,4/4/20,
1587830,4/7/20,
1587831,3/27/20,
1587832,4/28/20,
1587833,4/26/20,
1587834,4/28/20,
1587835,4/27/20,
1587836,4/2/20,
1587837,3/16/20,
1587838,4/28/20,
1587839,3/28/20,
1587840,4/7/20,
1587841,3/11/20,
1587842,3/9/20,
1587843,4/28/20,
1587844,4/23/20,
1587845,3/13/20,
1587846,3/10/20,
1587847,3/15/20,
1587848,4/29/20,
1587849,4/8/20,
1587850,4/23/20,
1587851,4/29/20,
1587852,4/20/20,
1587853,3/15/20,
1587854,3/25/20,
1587855,4/27/20,
1587856,4/15/20,
1587857,4/27/20,
1587858,4/25/20,
1587859,4/23/20,
1587860,3/16/20,
1587861,4/28/20,
1587862,3/30/20,
1587863,4/25/20,
1587864,4/29/20,
1587865,3/10/20,
1587866,4/18/20,
1587867,4/24/20,
1587868,4/28/20,
1587869,3/25/20,
1587870,3/20/20,
1587871,3/23/20,
1587872,4/22/20,
1587873,3/19/20,
1587874,3/14/20,
1587875,4/28/20,
1587876,3/23/20,
1587877,3/12/20,
1587878,4/14/20,
1587879,4/29/20,
1587880,3/10/20,
1587881,4/23/20,
1587882,3/21/20,
1587883,5/1/20,
1587884,3/17/20,
1587885,4/1/20,
1587886,4/15/20,
1587887,3/11/20,
1587888,3/30/20,
1587889,3/16/20,
1587890,3/9/20,
1587891,3/30/20,
1587892,4/13/20,
1587893,3/20/20,
1587894,3/23/20,
1587895,3/16/20,
1587896,3/17/20,
1587897,4/22/20,
1587898,4/16/20,
1587899,4/22/20,
1587900,4/7/20,
1587901,3/9/20,
1587902,4/25/20,
1587903,4/9/20,
1587904,4/16/20,
1587905,3/29/20,
1587906,4/13/20,
1587907,3/16/20,
1587908,3/11/20,
1587909,3/9/20,
1587910,3/14/20,
1587911,3/25/20,
1587912,4/16/20,
1587913,4/17/20,
1587914,4/7/20,
1587915,4/13/20,
1587916,4/9/20,
1587917,4/11/20,
1587918,4/30/20,
1587919,4/20/20,
1587920,3/16/20,
1587921,4/26/20,
1587922,4/15/20,
1587923,4/29/20,
1587924,3/12/20,
1587925,3/26/20,
1587926,4/29/20,
1587927,4/19/20,
1587928,4/13/20,
1587929,4/25/20,
1587930,4/21/20,
1587931,3/21/20,
1587932,3/30/20,
1587933,4/13/20,
1587934,4/1/20,
1587935,4/9/20,
1587936,4/1/20,
1587937,3/28/20,
1587938,3/13/20,
1587939,4/16/20,
1587940,4/27/20,
1587941,3/21/20,
1587942,4/3/20,
1587943,4/21/20,
1587944,3/12/20,
1587945,4/18/20,
1587946,4/28/20,
1587947,3/24/20,
1587948,5/1/20,
1587949,4/8/20,
1587950,4/2/20,
1587951,4/29/20,
1587952,3/24/20,
1587953,4/23/20,
1587954,3/26/20,
1587955,3/11/20,
1587956,3/18/20,
1587957,5/1/20,
1587958,4/7/20,
1587959,4/16/20,
1587960,4/3/20,
1587961,3/19/20,
1587962,3/17/20,
1587963,3/31/20,
1587964,4/30/20,
1587965,3/23/20,
1587966,3/14/20,
1587967,3/15/20,
1587968,4/20/20,
1587969,3/25/20,
1587970,3/12/20,
1587971,3/23/20,
1587972,4/19/20,
1587973,4/11/20,
1587974,4/21/20,
1587975,3/28/20,
1587976,3/18/20,
1587977,4/15/20,
1587978,4/15/20,
1587979,4/7/20,
1587980,3/17/20,
1587981,4/18/20,
1587982,4/21/20,
1587983,3/19/20,
1587984,3/26/20,
1587985,3/30/20,
1587986,3/21/20,
1587987,3/30/20,
1587988,4/14/20,
1587989,4/17/20,
1587990,3/20/20,
1587991,4/29/20,
1587992,4/14/20,
1587993,4/29/20,
1587994,4/10/20,
1587995,3/31/20,
1587996,4/5/20,
1587997,3/28/20,
1587998,4/20/20,
1587999,4/27/20,
1588000,3/20/20,
1588001,4/30/20,
1588002,3/28/20,
1588003,4/20/20,
1588004,3/24/20,
1588005,3/12/20,
1588006,3/26/20,
1588007,4/14/20,
1588008,3/21/20,
1588009,4/17/20,
1588010,4/21/20,
1588011,4/3/20,
1588012,4/22/20,
1588013,4/7/20,
1588014,4/6/20,
1588015,3/12/20,
1588016,3/20/20,
1588017,4/23/20,
1588018,4/3/20,
1588019,3/22/20,
1588020,3/26/20,
1588021,4/30/20,
1588022,4/27/20,
1588023,4/21/20,
1588024,4/13/20,
1588025,4/28/20,
1588026,3/12/20,
1588027,3/16/20,
1588028,4/10/20,
1588029,4/18/20,
1588030,3/9/20,
1588031,4/17/20,
1588032,4/9/20,
1588033,3/17/20,
1588034,4/21/20,
1588035,4/28/20,
1588036,5/1/20,
1588037,3/13/20,
1588038,3/31/20,
1588039,3/23/20,
1588040,3/24/20,
1588041,4/14/20,
1588042,4/4/20,
1588043,3/18/20,
1588044,4/14/20,
1588045,4/3/20,
1588046,4/9/20,
1588047,3/31/20,
1588048,3/13/20,
1588049,3/15/20,
1588050,4/5/20,
1588051,4/20/20,
1588052,3/17/20,
1588053,3/30/20,
1588054,4/27/20,
1588055,3/16/20,
1588056,4/27/20,
1588057,4/8/20,
1588058,3/30/20,
1588059,3/25/20,
1588060,4/3/20,
1588061,4/14/20,
1588062,3/17/20,
1588063,3/9/20,
1588064,4/20/20,
1588065,4/19/20,
1588066,3/24/20,
1588067,3/23/20,
1588068,3/13/20,
1588069,4/8/20,
1588070,3/18/20,
1588071,3/12/20,
1588072,4/3/20,
1588073,3/24/20,
1588074,3/17/20,
1588075,3/30/20,
1588076,3/18/20,
1588077,4/2/20,
1588078,3/12/20,
1588079,3/18/20,
1588080,4/9/20,
1588081,3/10/20,
1588082,3/26/20,
1588083,3/16/20,
1588084,4/21/20,
1588085,4/23/20,
1588086,3/14/20,
1588087,3/12/20,
1588088,4/22/20,
1588089,4/15/20,
1588090,4/16/20,
1588091,4/19/20,
1588092,3/16/20,
1588093,4/24/20,
1588094,4/10/20,
1588095,3/25/20,
1588096,3/25/20,
1588097,4/9/20,
1588098,4/25/20,
1588099,4/13/20,
1588100,3/31/20,
1588101,4/23/20,
1588102,3/10/20,
1588103,4/8/20,
1588104,4/25/20,
1588105,3/23/20,
1588106,4/20/20,
1588107,3/12/20,
1588108,3/13/20,
1588109,4/17/20,
1588110,3/11/20,
1588111,3/9/20,
1588112,3/28/20,
1588113,4/29/20,
1588114,4/16/20,
1588115,3/17/20,
1588116,4/8/20,
1588117,4/4/20,
1588118,3/16/20,
1588119,3/14/20,
1588120,4/20/20,
1588121,3/18/20,
1588122,3/14/20,
1588123,3/24/20,
1588124,3/31/20,
1588125,3/16/20,
1588126,3/16/20,
1588127,4/27/20,
1588128,4/6/20,
1588129,4/7/20,
1588130,4/21/20,
1588131,3/17/20,
1588132,4/24/20,
1588133,3/11/20,
1588134,4/2/20,
1588135,4/4/20,
1588136,3/24/20,
1588137,4/12/20,
1588138,3/30/20,
1588139,3/26/20,
1588140,4/11/20,
1588141,3/31/20,
1588142,3/17/20,
1588143,3/10/20,
1588144,3/14/20,
1588145,4/4/20,
1588146,4/10/20,
1588147,3/28/20,
1588148,4/7/20,
1588149,3/16/20,
1588150,4/20/20,
1588151,4/16/20,
1588152,3/15/20,
1588153,4/2/20,
1588154,4/5/20,
1588155,3/22/20,
1588156,4/24/20,
1588157,4/9/20,
1588158,4/17/20,
1588159,4/21/20,
1588160,3/17/20,
1588161,3/18/20,
1588162,4/6/20,
1588163,4/14/20,
1588164,3/14/20,
1588165,4/27/20,
1588166,3/9/20,
1588167,4/15/20,
1588168,4/9/20,
1588169,4/29/20,
1588170,3/9/20,
1588171,4/22/20,
1588172,4/11/20,
1588173,4/12/20,
1588174,4/3/20,
1588175,4/28/20,
1588176,4/20/20,
1588177,4/21/20,
1588178,4/1/20,
1588179,4/3/20,
1588180,4/28/20,
1588181,4/17/20,
1588182,3/24/20,
1588183,4/21/20,
1588184,3/20/20,
1588185,3/23/20,
1588186,5/1/20,
1588187,4/21/20,
1588188,3/14/20,
1588189,4/10/20,
1588190,4/19/20,
1588191,3/9/20,
1588192,3/23/20,
1588193,4/20/20,
1588194,4/13/20,
1588195,3/9/20,
1588196,4/25/20,
1588197,4/19/20,
1588198,4/23/20,
1588199,4/8/20,
1588200,4/29/20,
1588201,4/22/20,
1588202,4/29/20,
1588203,4/27/20,
1588204,4/13/20,
1588205,4/7/20,
1588206,4/23/20,
1588207,3/11/20,
1588208,3/24/20,
1588209,4/1/20,
1588210,4/16/20,
1588211,4/23/20,
1588212,3/16/20,
1588213,4/20/20,
1588214,4/17/20,
1588215,3/28/20,
1588216,4/25/20,
1588217,4/10/20,
1588218,5/1/20,
1588219,4/20/20,
1588220,5/1/20,
1588221,4/20/20,
1588222,4/22/20,
1588223,4/28/20,
1588224,4/2/20,
1588225,4/15/20,
1588226,3/29/20,
1588227,4/22/20,
1588228,4/6/20,
1588229,4/6/20,
1588230,3/31/20,
1588231,4/18/20,
1588232,4/8/20,
1588233,4/17/20,
1588234,3/16/20,
1588235,4/10/20,
1588236,4/28/20,
1588237,3/23/20,
1588238,3/28/20,
1588239,3/27/20,
1588240,4/22/20,
1588241,3/19/20,
1588242,4/7/20,
1588243,4/24/20,
1588244,4/24/20,
1588245,3/13/20,
1588246,4/16/20,
1588247,3/16/20,
1588248,4/7/20,
1588249,4/14/20,
1588250,4/13/20,
1588251,4/23/20,
1588252,3/9/20,
1588253,3/16/20,
1588254,4/25/20,
1588255,4/13/20,
1588256,4/14/20,
1588257,3/26/20,
1588258,4/10/20,
1588259,4/3/20,
1588260,4/28/20,
1588261,4/13/20,
1588262,3/24/20,
1588263,4/20/20,
1588264,3/29/20,
1588265,3/13/20,
1588266,3/16/20,
1588267,4/2/20,
1588268,3/13/20,
1588269,4/13/20,
1588270,4/13/20,
1588271,3/30/20,
1588272,4/28/20,
1588273,4/9/20,
1588274,4/5/20,
1588275,4/17/20,
1588276,3/18/20,
1588277,3/16/20,
1588278,4/8/20,
1588279,3/10/20,
1588280,4/3/20,
1588281,4/15/20,
1588282,4/17/20,
1588283,4/10/20,
1588284,4/27/20,
1588285,3/9/20,
1588286,3/10/20,
1588287,4/10/20,
1588288,4/22/20,
1588289,4/20/20,
1588290,4/3/20,
1588291,3/12/20,
1588292,3/26/20,
1588293,3/26/20,
1588294,4/2/20,
1588295,4/10/20,
1588296,3/12/20,
1588297,3/18/20,
1588298,4/21/20,
1588299,4/11/20,
1588300,4/21/20,
1588301,4/8/20,
1588302,4/20/20,
1588303,4/19/20,
1588304,4/1/20,
1588305,3/20/20,
1588306,3/30/20,
1588307,3/29/20,
1588308,3/17/20,
1588309,4/7/20,
1588310,3/20/20,
1588311,3/14/20,
1588312,4/12/20,
1588313,3/22/20,
1588314,4/19/20,
1588315,3/31/20,
1588316,4/11/20,
1588317,3/30/20,
1588318,4/14/20,
1588319,4/28/20,
1588320,4/20/20,
1588321,4/20/20,
1588322,3/26/20,
1588323,3/26/20,
1588324,3/12/20,
1588325,3/31/20,
1588326,4/25/20,
1588327,3/17/20,
1588328,3/13/20,
1588329,4/9/20,
1588330,4/14/20,
1588331,4/14/20,
1588332,4/25/20,
1588333,4/27/20,
1588334,4/18/20,
1588335,4/29/20,
1588336,4/28/20,
1588337,4/13/20,
1588338,4/30/20,
1588339,3/22/20,
1588340,3/23/20,
1588341,4/22/20,
1588342,3/17/20,
1588343,4/27/20,
1588344,4/27/20,
1588345,4/26/20,
1588346,4/23/20,
1588347,4/21/20,
1588348,4/8/20,
1588349,3/16/20,
1588350,3/21/20,
1588351,4/16/20,
1588352,4/29/20,
1588353,3/17/20,
1588354,3/9/20,
1588355,4/10/20,
1588356,3/16/20,
1588357,4/22/20,
1588358,4/25/20,
1588359,4/16/20,
1588360,4/21/20,
1588361,3/13/20,
1588362,4/19/20,
1588363,3/12/20,
1588364,4/20/20,
1588365,4/17/20,
1588366,4/10/20,
1588367,4/16/20,
1588368,3/11/20,
1588369,3/13/20,
1588370,4/24/20,
1588371,4/27/20,
1588372,3/26/20,
1588373,4/8/20,
1588374,4/14/20,
1588375,3/31/20,
1588376,4/19/20,
1588377,4/20/20,
1588378,4/20/20,
1588379,3/11/20,
1588380,3/31/20,
1588381,3/16/20,
1588382,4/2/20,
1588383,3/24/20,
1588384,4/21/20,
1588385,4/6/20,
1588386,3/10/20,
1588387,4/11/20,
1588388,4/9/20,
1588389,3/21/20,
1588390,4/10/20,
1588391,3/12/20,
1588392,3/26/20,
1588393,4/20/20,
1588394,4/21/20,
1588395,3/11/20,
1588396,3/26/20,
1588397,3/13/20,
1588398,4/6/20,
1588399,3/25/20,
1588400,4/24/20,
1588401,4/16/20,
1588402,4/17/20,
1588403,3/31/20,
1588404,4/24/20,
1588405,3/15/20,
1588406,4/6/20,
1588407,4/28/20,
1588408,3/9/20,
1588409,3/9/20,
1588410,4/20/20,
1588411,5/1/20,
1588412,3/10/20,
1588413,4/7/20,
1588414,4/28/20,
1588415,4/15/20,
1588416,3/14/20,
1588417,4/29/20,
1588418,4/24/20,
1588419,3/30/20,
1588420,3/11/20,
1588421,4/15/20,
1588422,3/26/20,
1588423,4/26/20,
1588424,3/26/20,
1588425,5/1/20,
1588426,3/31/20,
1588427,5/1/20,
1588428,3/31/20,
1588429,3/14/20,
1588430,4/27/20,
1588431,3/24/20,
1588432,3/9/20,
1588433,3/17/20,
1588434,3/30/20,
1588435,4/13/20,
1588436,4/24/20,
1588437,4/25/20,
1588438,4/20/20,
1588439,3/15/20,
1588440,4/6/20,
1588441,3/12/20,
1588442,3/30/20,
1588443,3/30/20,
1588444,4/18/20,
1588445,4/2/20,
1588446,3/25/20,
1588447,4/14/20,
1588448,3/23/20,
1588449,4/16/20,
1588450,4/3/20,
1588451,3/9/20,
1588452,3/11/20,
1588453,3/15/20,
1588454,3/31/20,
1588455,4/29/20,
1588456,5/1/20,
1588457,3/24/20,
1588458,3/31/20,
1588459,4/14/20,
1588460,4/15/20,
1588461,4/8/20,
1588462,4/27/20,
1588463,3/24/20,
1588464,4/14/20,
1588465,4/10/20,
1588466,4/13/20,
1588467,4/25/20,
1588468,3/23/20,
1588469,4/15/20,
1588470,3/12/20,
1588471,3/11/20,
1588472,4/9/20,
1588473,4/2/20,
1588474,3/16/20,
1588475,3/24/20,
1588476,4/17/20,
1588477,4/1/20,
1588478,3/14/20,
1588479,4/20/20,
1588480,3/16/20,
1588481,4/13/20,
1588482,4/7/20,
1588483,4/27/20,
1588484,4/15/20,
1588485,4/19/20,
1588486,3/27/20,
1588487,3/20/20,
1588488,4/23/20,
1588489,4/15/20,
1588490,4/27/20,
1588491,3/28/20,
1588492,4/5/20,
1588493,3/30/20,
1588494,4/17/20,
1588495,3/17/20,
1588496,4/8/20,
1588497,4/24/20,
1588498,4/25/20,
1588499,4/7/20,
1588500,3/23/20,
1588501,4/15/20,
1588502,3/13/20,
1588503,4/15/20,
1588504,3/9/20,
1588505,4/7/20,
1588506,4/9/20,
1588507,4/15/20,
1588508,3/20/20,
1588509,4/7/20,
1588510,4/17/20,
1588511,3/10/20,
1588512,3/9/20,
1588513,4/7/20,
1588514,3/12/20,
1588515,4/6/20,
1588516,4/28/20,
1588517,3/31/20,
1588518,5/1/20,
1588519,3/20/20,
1588520,3/10/20,
1588521,3/16/20,
1588522,4/30/20,
1588523,4/28/20,
1588524,3/30/20,
1588525,4/10/20,
1588526,4/28/20,
1588527,3/24/20,
1588528,4/15/20,
1588529,4/20/20,
1588530,4/3/20,
1588531,4/30/20,
1588532,3/12/20,
1588533,3/24/20,
1588534,4/27/20,
1588535,4/21/20,
1588536,4/7/20,
1588537,4/8/20,
1588538,4/30/20,
1588539,3/12/20,
1588540,4/19/20,
1588541,4/14/20,
1588542,3/31/20,
1588543,4/20/20,
1588544,4/14/20,
1588545,4/8/20,
1588546,4/13/20,
1588547,4/29/20,
1588548,4/27/20,
1588549,3/23/20,
1588550,3/18/20,
1588551,4/7/20,
1588552,4/10/20,
1588553,3/25/20,
1588554,3/12/20,
1588555,3/10/20,
1588556,4/12/20,
1588557,4/10/20,
1588558,4/3/20,
1588559,4/17/20,
1588560,4/25/20,
1588561,4/4/20,
1588562,4/15/20,
1588563,4/15/20,
1588564,4/29/20,
1588565,4/30/20,
1588566,3/31/20,
1588567,3/11/20,
1588568,4/3/20,
1588569,3/9/20,
1588570,4/29/20,
1588571,3/12/20,
1588572,4/7/20,
1588573,3/18/20,
1588574,4/17/20,
1588575,4/17/20,
1588576,4/23/20,
1588577,3/31/20,
1588578,3/27/20,
1588579,4/22/20,
1588580,3/27/20,
1588581,4/27/20,
1588582,3/17/20,
1588583,3/15/20,
1588584,4/17/20,
1588585,4/14/20,
1588586,4/13/20,
1588587,3/31/20,
1588588,4/23/20,
1588589,4/9/20,
1588590,3/27/20,
1588591,3/30/20,
1588592,4/1/20,
1588593,3/20/20,
1588594,5/1/20,
1588595,4/11/20,
1588596,3/28/20,
1588597,3/16/20,
1588598,4/20/20,
1588599,3/27/20,
1588600,3/19/20,
1588601,4/17/20,
1588602,4/24/20,
1588603,3/30/20,
1588604,3/19/20,
1588605,3/16/20,
1588606,3/25/20,
1588607,4/1/20,
1588608,3/24/20,
1588609,4/1/20,
1588610,3/30/20,
1588611,3/13/20,
1588612,3/10/20,
1588613,4/27/20,
1588614,3/24/20,
1588615,4/16/20,
1588616,3/11/20,
1588617,4/20/20,
1588618,3/23/20,
1588619,4/21/20,
1588620,4/1/20,
1588621,4/11/20,
1588622,3/26/20,
1588623,4/7/20,
1588624,4/22/20,
1588625,4/14/20,
1588626,4/30/20,
1588627,4/28/20,
1588628,4/30/20,
1588629,4/21/20,
1588630,4/14/20,
1588631,4/17/20,
1588632,4/20/20,
1588633,4/13/20,
1588634,3/18/20,
1588635,4/14/20,
1588636,4/9/20,
1588637,4/3/20,
1588638,3/25/20,
1588639,3/22/20,
1588640,4/25/20,
1588641,4/27/20,
1588642,4/27/20,
1588643,3/13/20,
1588644,3/20/20,
