customer_id,promotion_date,treatment_control
1541417,4/1/20,treatment
1552482,4/1/20,control
1536143,4/1/20,control
1553097,4/1/20,control
1540043,4/1/20,treatment
1538378,4/1/20,treatment
1536239,4/1/20,treatment
1547421,4/1/20,control
1545230,4/1/20,control
1544464,4/1/20,treatment
1543874,4/1/20,treatment
1550073,4/1/20,treatment
1538524,4/1/20,treatment
1539587,4/1/20,treatment
1532936,4/1/20,treatment
1535810,4/1/20,treatment
1534565,4/1/20,treatment
1535890,4/1/20,control
1556826,4/1/20,treatment
1539730,4/1/20,treatment
1536208,4/1/20,treatment
1537045,4/1/20,treatment
1543526,4/1/20,control
1540885,4/1/20,control
1551754,4/1/20,control
1543943,4/1/20,control
1536214,4/1/20,treatment
1540986,4/1/20,control
1548446,4/1/20,control
1533212,4/1/20,control
1543200,4/1/20,treatment
1535106,4/1/20,treatment
1552203,4/1/20,treatment
1541753,4/1/20,treatment
1552039,4/1/20,treatment
1539197,4/1/20,treatment
1545971,4/1/20,control
1541789,4/1/20,control
1546929,4/1/20,treatment
1551603,4/1/20,treatment
1544210,4/1/20,treatment
1547512,4/1/20,treatment
1547916,4/1/20,treatment
1548726,4/1/20,control
1541480,4/1/20,treatment
1552277,4/1/20,treatment
1544270,4/1/20,treatment
1544976,4/1/20,control
1536254,4/1/20,control
1545411,4/1/20,treatment
1554550,4/1/20,treatment
1536166,4/1/20,treatment
1556763,4/1/20,treatment
1531474,4/1/20,control
1542387,4/1/20,treatment
1535300,4/1/20,treatment
1552902,4/1/20,treatment
1554984,4/1/20,control
1538629,4/1/20,treatment
1536858,4/1/20,control
1546496,4/1/20,control
1541910,4/1/20,treatment
1538829,4/1/20,treatment
1533800,4/1/20,treatment
1548814,4/1/20,treatment
1550727,4/1/20,control
1537644,4/1/20,control
1533242,4/1/20,treatment
1537596,4/1/20,treatment
1534397,4/1/20,treatment
1540396,4/1/20,treatment
1539364,4/1/20,treatment
1555678,4/1/20,treatment
1531863,4/1/20,treatment
1551499,4/1/20,treatment
1538539,4/1/20,control
1556539,4/1/20,treatment
1532679,4/1/20,treatment
1542560,4/1/20,treatment
1543971,4/1/20,treatment
1546158,4/1/20,treatment
1557210,4/1/20,treatment
1546522,4/1/20,control
1537807,4/1/20,control
1536748,4/1/20,treatment
1534588,4/1/20,treatment
1538058,4/1/20,treatment
1552927,4/1/20,control
1535348,4/1/20,control
1554903,4/1/20,control
1532362,4/1/20,treatment
1548269,4/1/20,treatment
1557269,4/1/20,treatment
1541305,4/1/20,treatment
1553951,4/1/20,treatment
1537488,4/1/20,treatment
1541299,4/1/20,treatment
1545845,4/1/20,treatment
1554036,4/1/20,treatment
1551665,4/1/20,treatment
1556488,4/1/20,control
1553426,4/1/20,treatment
1541261,4/1/20,treatment
1554752,4/1/20,treatment
1540253,4/1/20,treatment
1554874,4/1/20,treatment
1535957,4/1/20,treatment
1543432,4/1/20,control
1553606,4/1/20,treatment
1550382,4/1/20,treatment
1547261,4/1/20,treatment
1547232,4/1/20,treatment
1535281,4/1/20,treatment
1537179,4/1/20,treatment
1532044,4/1/20,control
1553769,4/1/20,control
1552683,4/1/20,treatment
1545233,4/1/20,treatment
1546757,4/1/20,treatment
1537732,4/1/20,treatment
1550892,4/1/20,treatment
1540704,4/1/20,control
1553389,4/1/20,treatment
1541161,4/1/20,treatment
1548952,4/1/20,treatment
1557083,4/1/20,treatment
1541885,4/1/20,treatment
1553413,4/1/20,control
1543807,4/1/20,control
1554578,4/1/20,treatment
1536483,4/1/20,treatment
1543355,4/1/20,treatment
1536316,4/1/20,treatment
1553990,4/1/20,treatment
1554548,4/1/20,control
1553406,4/1/20,treatment
1555135,4/1/20,treatment
1534348,4/1/20,treatment
1556356,4/1/20,treatment
1545400,4/1/20,treatment
1548004,4/1/20,control
1535992,4/1/20,control
1552678,4/1/20,control
1532667,4/1/20,treatment
1548320,4/1/20,treatment
1542301,4/1/20,control
1536570,4/1/20,control
1548441,4/1/20,control
1544409,4/1/20,treatment
1532055,4/1/20,treatment
1536685,4/1/20,treatment
1543365,4/1/20,treatment
1544408,4/1/20,control
1536160,4/1/20,control
1540468,4/1/20,control
1534373,4/1/20,treatment
1552246,4/1/20,treatment
1556954,4/1/20,treatment
1542585,4/1/20,treatment
1533938,4/1/20,treatment
1536066,4/1/20,treatment
1541750,4/1/20,treatment
1531786,4/1/20,treatment
1548271,4/1/20,treatment
1549880,4/1/20,treatment
1531692,4/1/20,control
1536032,4/1/20,treatment
1541836,4/1/20,treatment
1541776,4/1/20,treatment
1550215,4/1/20,control
1554316,4/1/20,treatment
1548587,4/1/20,treatment
1553485,4/1/20,treatment
1552543,4/1/20,treatment
1541725,4/1/20,treatment
1534152,4/1/20,treatment
1542083,4/1/20,treatment
1555161,4/1/20,treatment
1554515,4/1/20,treatment
1534695,4/1/20,treatment
1532132,4/1/20,treatment
1554022,4/1/20,treatment
1549184,4/1/20,treatment
1537477,4/1/20,treatment
1543095,4/1/20,treatment
1539917,4/1/20,treatment
1540506,4/1/20,treatment
1540991,4/1/20,control
1536230,4/1/20,control
1541530,4/1/20,control
1556747,4/1/20,control
1543118,4/1/20,treatment
1554778,4/1/20,treatment
1552660,4/1/20,treatment
1546351,4/1/20,treatment
1537185,4/1/20,control
1542573,4/1/20,treatment
1555222,4/1/20,treatment
1555256,4/1/20,treatment
1545675,4/1/20,control
1541166,4/1/20,treatment
1549110,4/1/20,treatment
1555335,4/1/20,treatment
1554469,4/1/20,treatment
1555554,4/1/20,treatment
1544590,4/1/20,treatment
1543205,4/1/20,treatment
1551485,4/1/20,treatment
1532680,4/1/20,treatment
1555501,4/1/20,control
1554376,4/1/20,control
1540049,4/1/20,treatment
1543589,4/1/20,treatment
1551787,4/1/20,treatment
1544658,4/1/20,treatment
1535725,4/1/20,treatment
1553551,4/1/20,control
1534712,4/1/20,control
1548800,4/1/20,treatment
1537094,4/1/20,treatment
1534323,4/1/20,treatment
1533078,4/1/20,treatment
1550810,4/1/20,control
1535549,4/1/20,control
1538016,4/1/20,treatment
1535859,4/1/20,treatment
1547215,4/1/20,treatment
1552585,4/1/20,treatment
1547266,4/1/20,treatment
1556603,4/1/20,treatment
1554620,4/1/20,treatment
1555701,4/1/20,treatment
1554365,4/1/20,treatment
1539897,4/1/20,treatment
1556592,4/1/20,control
1553582,4/1/20,treatment
1533626,4/1/20,treatment
1554953,4/1/20,treatment
1546047,4/1/20,treatment
1538504,4/1/20,treatment
1553696,4/1/20,control
1536660,4/1/20,treatment
1545790,4/1/20,treatment
1546532,4/1/20,treatment
1539871,4/1/20,treatment
1548391,4/1/20,treatment
1543580,4/1/20,treatment
1541817,4/1/20,control
1540461,4/1/20,treatment
1556770,4/1/20,treatment
1554930,4/1/20,treatment
1537901,4/1/20,treatment
1542744,4/1/20,treatment
1547390,4/1/20,treatment
1541430,4/1/20,treatment
1551403,4/1/20,treatment
1551439,4/1/20,treatment
1548411,4/1/20,treatment
1545438,4/1/20,treatment
1540699,4/1/20,treatment
1532031,4/1/20,treatment
1533399,4/1/20,treatment
1551311,4/1/20,treatment
1540813,4/1/20,control
1533728,4/1/20,treatment
1550468,4/1/20,treatment
1547853,4/1/20,treatment
1532203,4/1/20,treatment
1553401,4/1/20,treatment
1546592,4/1/20,control
1551156,4/1/20,control
1557374,4/1/20,control
1544731,4/1/20,control
1539678,4/1/20,control
1535540,4/1/20,treatment
1548404,4/1/20,treatment
1544361,4/1/20,treatment
1532415,4/1/20,treatment
1534183,4/1/20,treatment
1536665,4/1/20,treatment
1531585,4/1/20,control
1542389,4/1/20,control
1554148,4/1/20,control
1555461,4/1/20,treatment
1555787,4/1/20,treatment
1554614,4/1/20,treatment
1540325,4/1/20,control
1533179,4/1/20,control
1553230,4/1/20,treatment
1547000,4/1/20,treatment
1533557,4/1/20,control
1542754,4/1/20,treatment
1531881,4/1/20,treatment
1551701,4/1/20,treatment
1552105,4/1/20,treatment
1548893,4/1/20,treatment
1540146,4/1/20,control
1544667,4/1/20,treatment
1541106,4/1/20,treatment
1545009,4/1/20,treatment
1548415,4/1/20,treatment
1538716,4/1/20,control
1537418,4/1/20,control
1545199,4/1/20,treatment
1532599,4/1/20,treatment
1551642,4/1/20,treatment
1538580,4/1/20,control
1542436,4/1/20,treatment
1549586,4/1/20,treatment
1548901,4/1/20,treatment
1544052,4/1/20,treatment
1534734,4/1/20,treatment
1550802,4/1/20,treatment
1537470,4/1/20,treatment
1553571,4/1/20,treatment
1555875,4/1/20,control
1555414,4/1/20,control
1557246,4/1/20,treatment
1556398,4/1/20,treatment
1542707,4/1/20,treatment
1535132,4/1/20,treatment
1548102,4/1/20,treatment
1553586,4/1/20,control
1546121,4/1/20,control
1531707,4/1/20,treatment
1543208,4/1/20,treatment
1537034,4/1/20,treatment
1542808,4/1/20,treatment
1545596,4/1/20,treatment
1546231,4/1/20,treatment
1534026,4/1/20,treatment
1555619,4/1/20,treatment
1544477,4/1/20,treatment
1548503,4/1/20,treatment
1546739,4/1/20,treatment
1534287,4/1/20,treatment
1537091,4/1/20,treatment
1555492,4/1/20,treatment
1551683,4/1/20,treatment
1539739,4/1/20,treatment
1538380,4/1/20,treatment
1544703,4/1/20,treatment
1546436,4/1/20,control
1539354,4/1/20,control
1555702,4/1/20,control
1546572,4/1/20,control
1532300,4/1/20,treatment
1535415,4/1/20,treatment
1542493,4/1/20,treatment
1547627,4/1/20,treatment
1551552,4/1/20,treatment
1556909,4/1/20,control
1539510,4/1/20,treatment
1550474,4/1/20,treatment
1553932,4/1/20,treatment
1532517,4/1/20,treatment
1532239,4/1/20,control
1540304,4/1/20,treatment
1543859,4/1/20,treatment
1546828,4/1/20,control
1533947,4/1/20,control
1535802,4/1/20,control
1549509,4/1/20,treatment
1537049,4/1/20,treatment
1543799,4/1/20,treatment
1536947,4/1/20,treatment
1548525,4/1/20,treatment
1548426,4/1/20,treatment
1541705,4/1/20,control
1551548,4/1/20,control
1545507,4/1/20,control
1540548,4/1/20,treatment
1534789,4/1/20,treatment
1532058,4/1/20,treatment
1540773,4/1/20,treatment
1537787,4/1/20,treatment
1540581,4/1/20,treatment
1535998,4/1/20,treatment
1539816,4/1/20,control
1542890,4/1/20,control
1547286,4/1/20,control
1556757,4/1/20,treatment
1541013,4/1/20,treatment
1549649,4/1/20,treatment
1544234,4/1/20,treatment
1551628,4/1/20,treatment
1534856,4/1/20,treatment
1556857,4/1/20,treatment
1540784,4/1/20,control
1540975,4/1/20,control
1553089,4/1/20,control
1556148,4/1/20,treatment
1548424,4/1/20,treatment
1553388,4/1/20,treatment
1547725,4/1/20,treatment
1555642,4/1/20,treatment
1546596,4/1/20,treatment
1553532,4/1/20,treatment
1539438,4/1/20,treatment
1556169,4/1/20,treatment
1534673,4/1/20,treatment
1550751,4/1/20,treatment
1546417,4/1/20,treatment
1539346,4/1/20,treatment
1531599,4/1/20,treatment
1550665,4/1/20,treatment
1533340,4/1/20,treatment
1542885,4/1/20,control
1544772,4/1/20,control
1533686,4/1/20,treatment
1553268,4/1/20,treatment
1556604,4/1/20,treatment
1542627,4/1/20,control
1545687,4/1/20,control
1536282,4/1/20,treatment
1537329,4/1/20,treatment
1537946,4/1/20,treatment
1552590,4/1/20,treatment
1540906,4/1/20,treatment
1542287,4/1/20,treatment
1546152,4/1/20,control
1534236,4/1/20,treatment
1553623,4/1/20,treatment
1555593,4/1/20,treatment
1541015,4/1/20,treatment
1550832,4/1/20,treatment
1549843,4/1/20,treatment
1540805,4/1/20,treatment
1544102,4/1/20,treatment
1554552,4/1/20,treatment
1539349,4/1/20,treatment
1534643,4/1/20,treatment
1548275,4/1/20,treatment
1537926,4/1/20,treatment
1553867,4/1/20,treatment
1543882,4/1/20,treatment
1557194,4/1/20,treatment
1531378,4/1/20,treatment
1555448,4/1/20,control
1553725,4/1/20,treatment
1541715,4/1/20,treatment
1555881,4/1/20,treatment
1547906,4/1/20,treatment
1543427,4/1/20,control
1555172,4/1/20,treatment
1541526,4/1/20,treatment
1555573,4/1/20,treatment
1542158,4/1/20,treatment
1533125,4/1/20,control
1545532,4/1/20,control
1533696,4/1/20,control
1541965,4/1/20,control
1537005,4/1/20,control
1544024,4/1/20,control
1534286,4/1/20,treatment
1532555,4/1/20,treatment
1549194,4/1/20,treatment
1556775,4/1/20,treatment
1543537,4/1/20,control
1550939,4/1/20,control
1542864,4/1/20,treatment
1549200,4/1/20,treatment
1546456,4/1/20,treatment
1539180,4/1/20,treatment
1548533,4/1/20,treatment
1540188,4/1/20,treatment
1545165,4/1/20,control
1556106,4/1/20,treatment
1548719,4/1/20,treatment
1542255,4/1/20,control
1543624,4/1/20,control
1553976,4/1/20,treatment
1531623,4/1/20,treatment
1531967,4/1/20,treatment
1533259,4/1/20,treatment
1556060,4/1/20,treatment
1537733,4/1/20,treatment
1539338,4/1/20,treatment
1541570,4/1/20,treatment
1544053,4/1/20,control
1553320,4/1/20,control
1537480,4/1/20,treatment
1539891,4/1/20,control
1531940,4/1/20,control
1545293,4/1/20,treatment
1541324,4/1/20,treatment
1551758,4/1/20,treatment
1548353,4/1/20,control
1545173,4/1/20,control
1544156,4/1/20,treatment
1540442,4/1/20,treatment
1531543,4/1/20,treatment
1539407,4/1/20,treatment
1550770,4/1/20,treatment
1542684,4/1/20,treatment
1549032,4/1/20,treatment
1538525,4/1/20,treatment
1535120,4/1/20,treatment
1546443,4/1/20,treatment
1556365,4/1/20,treatment
1551397,4/1/20,treatment
1553322,4/1/20,treatment
1550171,4/1/20,treatment
1535671,4/1/20,control
1543757,4/1/20,control
1555561,4/1/20,control
1537603,4/1/20,treatment
1555954,4/1/20,treatment
1541613,4/1/20,treatment
1543035,4/1/20,treatment
1550717,4/1/20,control
1545448,4/1/20,treatment
1537068,4/1/20,control
1552155,4/1/20,treatment
1551177,4/1/20,treatment
1549336,4/1/20,treatment
1537559,4/1/20,treatment
1548040,4/1/20,treatment
1556634,4/1/20,control
1553363,4/1/20,treatment
1531815,4/1/20,treatment
1547811,4/1/20,treatment
1542842,4/1/20,treatment
1549369,4/1/20,control
1537090,4/1/20,control
1533801,4/1/20,control
1539488,4/1/20,control
1550768,4/1/20,treatment
1543421,4/1/20,treatment
1543570,4/1/20,treatment
1545776,4/1/20,treatment
1538148,4/1/20,control
1546824,4/1/20,control
1554418,4/1/20,treatment
1535526,4/1/20,treatment
1540554,4/1/20,treatment
1532677,4/1/20,treatment
1540421,4/1/20,treatment
1550889,4/1/20,treatment
1536131,4/1/20,treatment
1557344,4/1/20,treatment
1555675,4/1/20,treatment
1549538,4/1/20,treatment
1534969,4/1/20,treatment
1556644,4/1/20,treatment
1555276,4/1/20,treatment
1546898,4/1/20,treatment
1536318,4/1/20,control
1533784,4/1/20,treatment
1540721,4/1/20,treatment
1540671,4/1/20,treatment
1538688,4/1/20,treatment
1556341,4/1/20,treatment
1547341,4/1/20,treatment
1534424,4/1/20,treatment
1550502,4/1/20,treatment
1547401,4/1/20,treatment
1534317,4/1/20,treatment
1532801,4/1/20,treatment
1552471,4/1/20,treatment
1538882,4/1/20,treatment
1532701,4/1/20,control
1537632,4/1/20,treatment
1545812,4/1/20,treatment
1540367,4/1/20,treatment
1542992,4/1/20,control
1540239,4/1/20,control
1542793,4/1/20,control
1555884,4/1/20,treatment
1551506,4/1/20,treatment
1537095,4/1/20,treatment
1548602,4/1/20,treatment
1542386,4/1/20,control
1543460,4/1/20,control
1553899,4/1/20,control
1546127,4/1/20,treatment
1534951,4/1/20,treatment
1538223,4/1/20,treatment
1556055,4/1/20,control
1539125,4/1/20,control
1545600,4/1/20,treatment
1535462,4/1/20,treatment
1537553,4/1/20,treatment
1533209,4/1/20,control
1537987,4/1/20,control
1539718,4/1/20,control
1554222,4/1/20,control
1534146,4/1/20,treatment
1546856,4/1/20,treatment
1554078,4/1/20,control
1552961,4/1/20,control
1537232,4/1/20,control
1550210,4/1/20,treatment
1535681,4/1/20,treatment
1544159,4/1/20,control
1550046,4/1/20,control
1549395,4/1/20,treatment
1552655,4/1/20,treatment
1545755,4/1/20,treatment
1542293,4/1/20,treatment
1552901,4/1/20,control
1555490,4/1/20,treatment
1543394,4/1/20,treatment
1543818,4/1/20,treatment
1546338,4/1/20,control
1539449,4/1/20,control
1532396,4/1/20,treatment
1536082,4/1/20,treatment
1535815,4/1/20,treatment
1538151,4/1/20,treatment
1540271,4/1/20,control
1552352,4/1/20,treatment
1538932,4/1/20,treatment
1539492,4/1/20,treatment
1539201,4/1/20,control
1548350,4/1/20,control
1553432,4/1/20,control
1547353,4/1/20,treatment
1542448,4/1/20,treatment
1550613,4/1/20,treatment
1532693,4/1/20,treatment
1544020,4/1/20,control
1556746,4/1/20,control
1540437,4/1/20,treatment
1533506,4/1/20,treatment
1553308,4/1/20,control
1541107,4/1/20,control
1547364,4/1/20,control
1546976,4/1/20,control
1535459,4/1/20,treatment
1545492,4/1/20,treatment
1545406,4/1/20,treatment
1532012,4/1/20,treatment
1542304,4/1/20,treatment
1556380,4/1/20,treatment
1548722,4/1/20,control
1547227,4/1/20,control
1553346,4/1/20,control
1557121,4/1/20,control
1550522,4/1/20,treatment
1537079,4/1/20,treatment
1531609,4/1/20,treatment
1532039,4/1/20,treatment
1547021,4/1/20,treatment
1538299,4/1/20,treatment
1554896,4/1/20,control
1539746,4/1/20,control
1534331,4/1/20,control
1543331,4/1/20,treatment
1543051,4/1/20,treatment
1538897,4/1/20,control
1557393,4/1/20,control
1546794,4/1/20,treatment
1537099,4/1/20,treatment
1534619,4/1/20,treatment
1531393,4/1/20,treatment
1557350,4/1/20,treatment
1538954,4/1/20,control
1550153,4/1/20,control
1541688,4/1/20,control
1540157,4/1/20,treatment
1541792,4/1/20,treatment
1536427,4/1/20,treatment
1552359,4/1/20,treatment
1550953,4/1/20,treatment
1540184,4/1/20,treatment
1538169,4/1/20,control
1535933,4/1/20,control
1544616,4/1/20,treatment
1544228,4/1/20,treatment
1534801,4/1/20,treatment
1544562,4/1/20,treatment
1537267,4/1/20,treatment
1548421,4/1/20,control
1547851,4/1/20,control
1532212,4/1/20,treatment
1546877,4/1/20,treatment
1547879,4/1/20,treatment
1534912,4/1/20,treatment
1552487,4/1/20,treatment
1536871,4/1/20,treatment
1534190,4/1/20,control
1555782,4/1/20,control
1545089,4/1/20,control
1555254,4/1/20,control
1546919,4/1/20,treatment
1536479,4/1/20,treatment
1549355,4/1/20,treatment
1554496,4/1/20,treatment
1548163,4/1/20,treatment
1546119,4/1/20,treatment
1541205,4/1/20,treatment
1557282,4/1/20,control
1542850,4/1/20,treatment
